NOC,Sport,Medal_Increase_With_Coach
NED,Tennis,10.918251681396082
NOR,Athletics,10.481192135899501
NOR,Gymnastics,7.421775317423432
NOR,Shooting,6.11059668093369
SUI,Athletics,11.792370772389246
SUI,Cycling,10.262662363151211
SUI,Shooting,4.143828726199073
SWE,Athletics,4.362358498947365
SWE,Cycling,11.136781454144375
SWE,Diving,9.60707304490634
SWE,Fencing,11.355311226892665
SWE,Shooting,6.984715771926853
SWE,Swimming,9.82560281765463
SWE,Tug-Of-War,10.262662363151211
SWE,Weightlifting,11.792370772389246
TUR,Athletics,11.573840999640957
USA,Diving,11.792370772389246
USA,Swimming,10.262662363151211
USA,Tennis,11.136781454144375
USA,Wrestling,11.573840999640955
ANZ,Athletics,8.732953953913178
ANZ,Boxing,11.792370772389246
ANZ,Diving,11.792370772389246
ANZ,Rugby,8.732953953913178
ANZ,Shooting,11.355311226892665
ANZ,Swimming,9.170013499409759
ARG,Figure Skating,11.792370772389246
AUT,Athletics,11.136781454144375
AUT,Fencing,11.792370772389246
AUT,Swimming,11.355311226892665
AUT,Tennis,10.918251681396082
BEL,Athletics,9.82560281765463
BEL,Cycling,9.38854327215805
BEL,Diving,11.792370772389246
BEL,Fencing,6.11059668093369
BEL,Gymnastics,11.573840999640955
BEL,Rowing,9.82560281765463
BEL,Sailing,11.355311226892665
BEL,Shooting,8.514424181164886
BEL,Swimming,10.481192135899501
BEL,Water Polo,10.481192135899501
BEL,Wrestling,11.136781454144375
BOH,Athletics,10.699721908647792
BOH,Fencing,6.984715771926853
BOH,Gymnastics,11.573840999640955
BOH,Tennis,10.699721908647792
BOH,Wrestling,11.136781454144375
CAN,Athletics,0.6473523622264228
CAN,Cycling,6.7661859991785605
CAN,Diving,11.792370772389246
CAN,Fencing,11.792370772389246
CAN,Gymnastics,11.573840999640957
CAN,Lacrosse,9.38854327215805
CAN,Rowing,8.295894408416595
CAN,Shooting,5.2364775899405265
CAN,Swimming,11.573840999640957
CAN,Tennis,10.918251681396082
CAN,Wrestling,11.792370772389246
DEN,Athletics,9.170013499409759
DEN,Boxing,11.573840999640957
DEN,Fencing,8.951483726661468
DEN,Football,9.170013499409759
DEN,Gymnastics,6.766185999178561
DEN,Shooting,7.858834862920015
DEN,Swimming,9.60707304490634
DEN,Wrestling,9.60707304490634
FIN,Athletics,4.143828726199073
FIN,Diving,11.355311226892665
FIN,Gymnastics,5.2364775899405265
FIN,Shooting,8.732953953913178
FIN,Swimming,10.918251681396082
FIN,Wrestling,11.136781454144375
FRA,Archery,6.54765622643027
FRA,Athletics,4.362358498947365
FRA,Boxing,10.481192135899501
FRA,Fencing,4.799418044443945
FRA,Football,7.203245544675142
FRA,Hockey,9.38854327215805
FRA,Motorboating,11.792370772389246
FRA,Sailing,11.355311226892665
FRA,Shooting,0.6473523622264228
FRA,Swimming,11.136781454144375
FRA,Tennis,11.792370772389246
GBR,Archery,1.0844119077230054
GBR,Boxing,5.017947817192237
GBR,Diving,8.295894408416595
GBR,Fencing,5.017947817192236
GBR,Figure Skating,9.38854327215805
GBR,Football,9.60707304490634
GBR,Hockey,2.1770607714644576
GBR,Jeu De Paume,10.04413259040292
GBR,Lacrosse,9.38854327215805
GBR,Motorboating,8.514424181164886
